id,项目名称,网址,ZBKZJ,k1,kbjj,k2,Date,整数位,小数位,下浮率,rule1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/9/art_1229661956_137919.html,855761.958,0.899,769330.0,0,2020-09-09,10,1,10.1,10.04
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/12/art_1229662124_159364.html,927759.904,0.937,869311.03,0,2019-09-12,6,3,6.3,8.45
A3311011160012282,青田县中医医院北山中心分院医技综合楼项目-边坡治理,http://lssggzy.lishui.gov.cn/art/2022/12/15/art_1229661956_210649.html,960509.333,0.9,864458.4,0,2022-12-15,10,0,10.0,10.03
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/9/art_1229661956_138831.html,970037.593,0.885,858483.27,0,2021-06-09,11,5,11.5,9.16
A3311011160012239,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022 年农村生活污水治理设施 提升改造项目）——新路湾镇新溪村溪淤生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/12/4/art_1229662124_188280.html,1028673.3,0.891,916547.91,0,2022-12-04,10,9,10.9,9.9
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/4/art_1229661852_132077.html,1035030.886,0.914,946018.23,0,2019-09-04,8,6,8.6,8.42
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/30/art_1229662124_160941.html,1035393.002,0.926,958773.92,0,2020-07-30,7,4,7.4,8.66
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/10/art_1229661852_132123.html,1042884.0,0.92,959453.28,0,2019-10-10,8,0,8.0,10.14
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/19/art_1229661852_132040.html,1066825.005,0.933,995347.73,0,2019-06-19,6,7,6.7,9.09
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/3/31/art_1229661852_132107.html,1068146.0,0.935,998716.51,0,2020-03-31,6,5,6.5,9.18
A3311011160012241001001,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）--新路湾镇胡家村生活污水处理设施提升改造开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/11/28/art_1229662124_188226.html,1075553.847,0.915,984131.77,0,2022-11-28,8,5,8.5,8.1
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/6/25/art_1229661812_159217.html,1080600.0,0.92,994152.0,0,2021-06-25,8,0,8.0,8.16
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/3/art_1229661852_132154.html,1083735.006,0.899,974277.77,0,2020-07-03,10,1,10.1,9.6
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/26/art_1229661956_138237.html,1086809.319,0.91,988996.48,0,2020-10-26,9,0,9.0,9.93
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/7/art_1229662124_160783.html,1114286.999,0.893,995058.29,0,2020-07-07,10,7,10.7,9.21
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/10/art_1229662124_160020.html,1157869.995,0.933,1079713.77,0,2019-12-10,6,7,6.7,10.3
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/2/art_1229661852_132151.html,1162720.998,0.882,1025519.92,0,2020-07-02,11,8,11.8,8.98
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/11/art_1229662124_160286.html,1184441.004,0.916,1084947.96,0,2020-09-11,8,4,8.4,10.21
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/11/art_1229661852_132036.html,1188098.004,0.932,1107307.34,0,2019-06-11,6,8,6.8,10.24
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/16/art_1229661852_132153.html,1203871.998,0.916,1102746.75,0,2020-10-16,8,4,8.4,9.29
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/20/art_1229661852_132080.html,1213721.005,0.935,1134829.14,0,2019-03-20,6,5,6.5,8.99
A3311011160012150,云和县中等职业技术学校产教融合中心二期工程监理,http://lssggzy.lishui.gov.cn/art/2023/1/16/art_1229661989_192834.html,1219692.997,0.901,1098943.39,0,2023-01-16,9,9,9.9,9.93
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/1/4/art_1229662089_160777.html,1220104.007,0.906,1105414.23,0,2021-01-04,9,4,9.4,8.09
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/18/art_1229662124_160416.html,1234086.004,0.896,1105741.06,0,2020-09-18,10,4,10.4,9.47
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/2/26/art_1229661812_158385.html,1285286.999,0.913,1173467.03,0,2021-02-26,8,7,8.7,8.72
A3311011160013159,龙泉市龙渊片区2023年度老旧小区改造工程（一期）监理,http://lssggzy.lishui.gov.cn/art/2023/6/25/art_1229661923_215784.html,1285300.0,0.9,1156770.0,0,2023-06-25,10,0,10.0,9.47
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/15/art_1229661852_132072.html,1307501.998,0.936,1223821.87,0,2019-03-15,6,4,6.4,9.83
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/17/art_1229661852_132081.html,1326127.996,0.933,1237277.42,0,2019-12-17,6,7,6.7,8.29
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/4/8/art_1229661812_157384.html,1340240.0,0.934,1251784.16,0,2019-04-08,6,6,6.6,10.12
A3311011160012392,浙江省级第八批历史文化村落保护利用重点村项目-黄沙腰镇上定村三期工程,http://lssggzy.lishui.gov.cn/art/2022/12/26/art_1229662124_191275.html,1351229.362,0.894,1207999.05,0,2022-12-26,10,6,10.6,9.02
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/28/art_1229661852_132052.html,1352563.005,0.925,1251120.78,0,2019-06-28,7,5,7.5,9.5
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/4/29/art_1229661956_137271.html,1366495.481,0.905,1236678.41,0,2020-04-29,9,5,9.5,9.62
A3311011160011985001001,侨乡青田海溪粉干乡愁产业园场地平整及边坡治理一期项目—边坡治理开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/9/28/art_1229661956_188526.html,1380451.006,0.895,1235503.65,0,2022-09-28,10,5,10.5,10.51
A3311011160012238,遂昌县2022-2025 年农村生活污水治理设施提升改造项目（2022 年农村生活污水治理设施 提升改造项目）——新路湾镇蕉川村二村、三村生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/30/art_1229662124_188281.html,1390086.895,0.921,1280270.03,0,2022-11-30,7,9,7.9,8.29
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/27/art_1229661956_137044.html,1421097.732,0.904,1284672.35,0,2019-12-27,9,6,9.6,8.97
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/11/20/art_1229661852_132053.html,1434997.998,0.904,1297238.19,0,2019-11-20,9,6,9.6,8.4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/19/art_1229661852_132076.html,1476331.004,0.906,1337555.89,0,2019-03-19,9,4,9.4,8.57
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/20/art_1229661989_137295.html,1493218.999,0.919,1372268.26,0,2020-07-20,8,1,8.1,8.5
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/19/art_1229661989_137047.html,1517735.005,0.923,1400869.41,0,2019-12-19,7,7,7.7,9.15
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/13/art_1229661852_132070.html,1609072.002,0.904,1454601.09,0,2019-12-13,9,6,9.6,9.32
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/4/30/art_1229662124_161750.html,1610933.384,0.919,1480447.78,0,2021-04-30,8,1,8.1,8.16
A3311011160011343001001,云和县梧桐坑流域综合治理工程监理开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/7/6/art_1229661989_187990.html,1681272.649,0.906,1523233.02,0,2022-07-06,9,4,9.4,8.75
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/25/art_1229661852_132046.html,1681831.001,0.909,1528784.38,0,2019-06-25,9,1,9.1,10.55
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/4/22/art_1229661956_137173.html,1708147.003,0.911,1556121.92,0,2020-04-22,8,9,8.9,8.96
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/27/art_1229661852_132207.html,1710618.0,0.935,1599427.83,0,2020-08-27,6,5,6.5,8.94
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/5/art_1229661852_132082.html,1712344.002,0.937,1604466.33,0,2019-09-05,6,3,6.3,8.61
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/5/29/art_1229661852_132034.html,1729501.004,0.916,1584222.92,0,2019-05-29,8,4,8.4,9.53
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/12/art_1229662124_160059.html,1730277.289,0.926,1602236.77,0,2019-12-12,7,4,7.4,8.05
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/4/1/art_1229661852_132022.html,1774242.997,0.911,1616335.37,0,2019-04-01,8,9,8.9,9.43
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/7/31/art_1229662124_159829.html,1830565.003,0.908,1661237.74,0,2019-07-31,9,2,9.2,9.91
A3311011160012193,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道范村村至连头村生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/23/art_1229662124_188289.html,1868890.517,0.928,1734330.4,0,2022-11-23,7,2,7.2,9.32
A3311011160012240,遂昌县2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）--新路湾镇夹路畈村生活污水处理设施提升改造（零直排）,http://lssggzy.lishui.gov.cn/art/2022/12/5/art_1229662124_189852.html,1898330.811,0.912,1731277.7,0,2022-12-05,8,8,8.8,8.16
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/28/art_1229661852_132139.html,1913628.0,0.93,1779674.04,0,2020-09-28,7,0,7.0,8.1
A3311011160012197,2022-2025年农村生活污水治理设施提升改造项目（2022年农村生活污水治理设施提升改造项目）——云峰街道同心村至马头村生活污水处理设施提升改造,http://lssggzy.lishui.gov.cn/art/2022/11/29/art_1229662124_188285.html,1938633.205,0.886,1717629.02,0,2022-11-29,11,4,11.4,9.06
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/5/art_1229661852_132184.html,1956479.005,0.915,1790178.29,0,2020-08-05,8,5,8.5,9.56
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/15/art_1229662124_160558.html,1963691.998,0.926,1818378.79,0,2020-06-15,7,4,7.4,8.29
A3311011160012855,碧湖派出所业务用房新建项目（二期）,http://lssggzy.lishui.gov.cn/art/2023/4/25/art_1229661852_203418.html,1972792.002,0.929,1832723.77,0,2023-04-25,7,1,7.1,10.08
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/10/13/art_1229662089_160377.html,1984004.556,0.9,1785604.1,0,2020-10-13,10,0,10.0,8.2
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/11/art_1229662157_160278.html,1996955.005,0.935,1867152.93,0,2019-10-11,6,5,6.5,9.53
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/7/art_1229661852_132157.html,2014640.0,0.939,1891746.96,0,2020-07-07,6,1,6.1,8.81
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/30/art_1229661923_139423.html,2032963.006,0.895,1819501.89,0,2020-06-30,10,5,10.5,9.17
A3311011160012669,云和县浮云溪流域综合治理工程（崇头段、城区段）监理,http://lssggzy.lishui.gov.cn/art/2023/3/17/art_1229661989_199231.html,2055178.996,0.916,1882543.96,0,2023-03-17,8,4,8.4,10.21
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2021/4/22/art_1229662089_160948.html,2066095.133,0.904,1867750.0,0,2021-04-22,9,6,9.6,9.5
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/18/art_1229661852_132074.html,2080963.419,0.936,1947781.76,0,2019-03-18,6,4,6.4,9.39
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/3/art_1229661923_139616.html,2091568.002,0.891,1863587.09,0,2020-08-03,10,9,10.9,8.92
A3311011160010655,0,http://lssggzy.lishui.gov.cn/art/2021/11/30/art_1229662124_162308.html,2129242.004,0.928,1975936.58,0,2021-11-30,7,2,7.2,8.8
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/11/5/art_1229662124_159867.html,2134573.998,0.933,1991557.54,0,2019-11-05,6,7,6.7,10.35
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/11/26/art_1229661989_136945.html,2166386.0,0.93,2014738.98,0,2019-11-26,7,0,7.0,10.36
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/29/art_1229661852_132137.html,2191923.998,0.923,2023145.85,0,2019-10-29,7,7,7.7,10.41
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/1/art_1229661923_139118.html,2195817.831,0.936,2055285.49,0,2020-06-01,6,4,6.4,9.73
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/3/art_1229662124_159940.html,2229275.006,0.903,2013035.33,0,2019-12-03,9,7,9.7,8.27
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/7/25/art_1229661852_132069.html,2247427.996,0.933,2096850.32,0,2019-07-25,6,7,6.7,9.37
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/1/9/art_1229662056_140123.html,2257246.002,0.928,2094724.29,0,2020-01-09,7,2,7.2,9.93
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/27/art_1229661852_132114.html,2259708.0,0.905,2045035.74,0,2019-09-27,9,5,9.5,8.54
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/16/art_1229661923_139236.html,2286871.998,0.901,2060471.67,0,2020-06-16,9,9,9.9,8.39
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/10/art_1229662056_139779.html,2293681.0,0.9,2064312.9,0,2019-10-10,10,0,10.0,8.67
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/5/12/art_1229662089_159931.html,2300610.0,0.908,2088953.88,0,2020-05-12,9,2,9.2,10.46
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/30/art_1229661852_132143.html,2328145.005,0.939,2186128.16,0,2020-09-30,6,1,6.1,8.19
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/27/art_1229661852_132090.html,2331595.996,0.909,2119420.76,0,2019-12-27,9,1,9.1,8.5
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/5/15/art_1229661923_137530.html,2425813.078,0.939,2277838.48,0,2019-05-15,6,1,6.1,10.24
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/24/art_1229661852_132131.html,2453890.0,0.911,2235493.79,0,2019-10-24,8,9,8.9,8.25
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/8/22/art_1229662124_159180.html,2480770.997,0.928,2300915.1,0,2019-08-22,7,2,7.2,8.62
A3311011160011128001001,第九批历史文化（传统）村落保护利用重点村建设——遂昌县蔡源乡蔡和村（一期）开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/5/24/art_1229662124_187752.html,2511326.0,0.905,2272750.03,0,2022-05-24,9,5,9.5,10.37
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/11/art_1229661852_132126.html,2529688.004,0.922,2332372.34,0,2019-10-11,7,8,7.8,9.48
A3311011160010579,0,http://lssggzy.lishui.gov.cn/art/2021/10/29/art_1229662124_162067.html,2538849.922,0.894,2269731.83,0,2021-10-29,10,6,10.6,9.55
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/14/art_1229661852_132038.html,2549910.0,0.935,2384165.85,0,2019-06-14,6,5,6.5,10.59
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/7/8/art_1229661923_137896.html,2561004.004,0.914,2340757.66,0,2019-07-08,8,6,8.6,8.59
A3311011160010860004001,浙江省级第八批历史文化村落保护利用重点村项目-黄沙腰镇上定村二期工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/1/14/art_1229662124_187592.html,2565811.003,0.927,2378506.8,0,2022-01-14,7,3,7.3,9.79
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/9/art_1229661956_136985.html,2622154.0,0.93,2438603.22,0,2019-10-09,7,0,7.0,9.19
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/28/art_1229662124_160859.html,2650904.002,0.932,2470642.53,0,2020-07-28,6,8,6.8,9.41
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/11/12/art_1229661852_132188.html,2657026.002,0.928,2465720.13,0,2020-11-12,7,2,7.2,8.06
A3311011160012558,遂昌县公共安全保障服务中心二期项目,http://lssggzy.lishui.gov.cn/art/2023/2/9/art_1229662124_193892.html,2673949.28,0.889,2377140.91,0,2023-02-09,11,1,11.1,9.04
A3311011160011579001001,遂昌县第七批（2019年度）历史文化村落保护利用重点村项目—王村口镇桥西村风貌提升工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/7/27/art_1229662124_187939.html,2693048.002,0.896,2412971.01,0,2022-07-27,10,4,10.4,8.87
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/28/art_1229662124_160649.html,2694890.0,0.931,2508942.59,0,2020-09-28,6,9,6.9,9.42
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/6/art_1229662089_159212.html,2731229.956,0.919,2510000.33,0,2019-06-06,8,1,8.1,8.95
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/19/art_1229661852_132078.html,2776047.003,0.911,2528978.82,0,2019-03-19,8,9,8.9,8.48
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/4/art_1229662124_159265.html,2788625.005,0.931,2596209.88,0,2019-09-04,6,9,6.9,10.59
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/4/27/art_1229661956_137207.html,2796096.0,0.915,2558427.84,0,2020-04-27,8,5,8.5,8.97
A3311011160011280001001,遂昌县三仁畲族乡上簟地质灾害安置小区出让地块基础设施项目开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/6/14/art_1229662124_187793.html,2820912.0,0.92,2595239.04,0,2022-06-14,8,0,8.0,8.45
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/9/art_1229661923_138318.html,2862428.384,0.916,2621984.4,0,2019-10-09,8,4,8.4,8.69
A3311011160010497002001,0,http://lssggzy.lishui.gov.cn/art/2021/7/6/art_1229662089_160862.html,2880123.639,0.937,2698675.85,0,2021-07-06,6,3,6.3,8.48
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/11/18/art_1229662124_161197.html,2906786.997,0.939,2729472.99,0,2020-11-18,6,1,6.1,9.96
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/11/art_1229662124_159677.html,2924774.004,0.934,2731738.92,0,2019-06-11,6,6,6.6,10.38
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/3/art_1229662056_139233.html,2928122.999,0.937,2743651.25,0,2019-06-03,6,3,6.3,9.15
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/8/art_1229661923_139176.html,2936064.882,0.936,2748156.73,0,2020-06-08,6,4,6.4,9.74
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/16/art_1229661956_137397.html,2938842.882,0.902,2650836.28,0,2020-06-16,9,8,9.8,8.78
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/18/art_1229661923_139384.html,2963447.768,0.932,2761933.32,0,2020-08-18,6,8,6.8,8.97
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/3/art_1229661923_139515.html,2969257.116,0.919,2728747.29,0,2020-09-03,8,1,8.1,8.34
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/30/art_1229661923_139587.html,2973917.095,0.902,2682473.22,0,2020-07-30,9,8,9.8,10.51
A3311011160011384001001,青田县应急物资储备仓项目—边坡治理工程开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/6/22/art_1229661956_188475.html,3021466.815,0.923,2788813.87,0,2022-06-22,7,7,7.7,8.47
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/6/25/art_1229661923_137793.html,3029782.0,0.905,2741952.71,0,2019-06-25,9,5,9.5,9.72
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/2/26/art_1229661852_132062.html,3043929.189,0.912,2776063.42,0,2019-02-26,8,8,8.8,9.56
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/19/art_1229661923_139412.html,3063317.807,0.935,2864202.15,0,2020-08-19,6,5,6.5,9.07
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/6/2/art_1229662124_160388.html,3067695.0,0.92,2822279.4,0,2020-06-02,8,0,8.0,8.64
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/9/27/art_1229662124_159507.html,3101365.996,0.924,2865662.18,0,2019-09-27,7,6,7.6,9.84
A3311011160010655,0,http://lssggzy.lishui.gov.cn/art/2021/11/29/art_1229662089_161232.html,3176913.333,0.888,2821099.04,0,2021-11-29,11,2,11.2,9.88
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/3/17/art_1229661852_132105.html,3188771.998,0.926,2952802.87,0,2020-03-17,7,4,7.4,9.1
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/12/21/art_1229662124_161259.html,3199731.998,0.921,2946953.17,0,2020-12-21,7,9,7.9,9.09
A3311011160013077,云和县大坪安置区道路工程（一标段）,http://lssggzy.lishui.gov.cn/art/2023/6/14/art_1229661989_215024.html,3204192.144,0.933,2989511.27,0,2023-06-14,6,7,6.7,9.69
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/16/art_1229661923_139524.html,3247158.457,0.933,3029598.84,0,2020-07-16,6,7,6.7,10.04
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/19/art_1229661812_157992.html,3304131.996,0.937,3095971.68,0,2020-08-19,6,3,6.3,10.37
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/3/18/art_1229661923_138729.html,3315271.28,0.883,2927384.54,0,2020-03-18,11,7,11.7,8.71
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/1/14/art_1229661923_138668.html,3357455.794,0.932,3129148.8,0,2020-01-14,6,8,6.8,10.4
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/17/art_1229661852_132196.html,3396605.696,0.913,3101101.0,0,2020-08-17,8,7,8.7,9.96
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/5/29/art_1229661923_137597.html,3481288.002,0.896,3119234.05,0,2019-05-29,10,4,10.4,8.99
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/8/9/art_1229661923_138029.html,3502893.001,0.933,3268199.17,0,2019-08-09,6,7,6.7,9.85
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/9/7/art_1229661989_137493.html,3519420.677,0.931,3276580.65,0,2020-09-07,6,9,6.9,8.16
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/21/art_1229662124_159646.html,3525538.0,0.92,3243494.96,0,2019-10-21,8,0,8.0,10.01
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/8/28/art_1229661923_139481.html,3530093.005,0.915,3230035.1,0,2020-08-28,8,5,8.5,8.64
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/7/30/art_1229661923_139557.html,3543322.999,0.887,3142927.5,0,2020-07-30,11,3,11.3,9.91
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/12/4/art_1229661923_138290.html,3552418.996,0.936,3325064.18,0,2019-12-04,6,4,6.4,10.03
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/7/19/art_1229661923_138007.html,3620701.996,0.917,3320183.73,0,2019-07-19,8,3,8.3,10.32
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/4/19/art_1229661923_137465.html,3624396.307,0.918,3327195.81,0,2019-04-19,8,2,8.2,9.78
A3311011160011173001001,缙云县新建镇建成区排水管道建设工程（四期）开标记录公示,http://lssggzy.lishui.gov.cn/art/2022/5/10/art_1229662089_187678.html,3636615.531,0.904,3287500.44,0,2022-05-10,9,6,9.6,9.0
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/10/10/art_1229662124_159606.html,3644990.0,0.937,3415355.63,0,2019-10-10,6,3,6.3,9.33
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2019/3/14/art_1229661812_157359.html,3693693.002,0.936,3457296.65,0,2019-03-14,6,4,6.4,10.22
A3311011160010276,0,http://lssggzy.lishui.gov.cn/art/2020/4/24/art_1229661923_138916.html,3720632.004,0.898,3341127.54,0,2020-04-24,10,2,10.2,10.32
