id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-18b7d920-6cfb-4313-b0ee-d915c12e14f8,市级,工程建设,建筑工程,安徽机械工业学校运动场建设项目,11980500.0,9913028.02,,,286,2021-09-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20210907/18b7d920-6cfb-4313-b0ee-d915c12e14f8.html,公开招标
ah-huainan-196353c7-92eb-4723-b0fd-ce0c6d8b7f60-1KB,市级,工程建设,建筑工程,淮南高新区文化发展中心项目工程总承包（EPC）,367497192.36,330747473.12,0.0,,33,2023-05-17,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230517/196353c7-92eb-4723-b0fd-ce0c6d8b7f60-1KB.html,公开招标
ah-huainan-1971435b-eb1f-4037-8c63-7f897148cb7d-1KB,,工程建设,建筑工程,曹庵佳苑二期设计-采购-施工总承包,215161100.0,209833072.5,,,11,2023-06-26,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230626/1971435b-eb1f-4037-8c63-7f897148cb7d-1KB.html,公开招标
ah-huainan-1a947afd-9f6b-4825-968c-5a9a4d798814-1KB,寿县,工程建设,公路工程,寿县瓦埠湖大桥连接线工程第二标段,115640276.03,102225240.13,,,123,2022-11-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221111/1a947afd-9f6b-4825-968c-5a9a4d798814-1KB.html,公开招标
ah-huainan-1b6222a9-4f98-484e-8fd5-edccb86b3d0a-1KB,寿县,工程建设,水利水电工程,2023年瓦埠镇水利设施建设工程第二标段,3197026.37,2942926.71,0.2,,199,2023-06-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230606/1b6222a9-4f98-484e-8fd5-edccb86b3d0a-1KB.html,公开招标
ah-huainan-1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB,寿县,工程建设,建筑工程,西门街区整治工程（二期）附属景观工程,4330067.96,4000349.77,0.6,0.96,74,2023-05-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230504/1c9c5b1f-52c2-49dd-b11b-2cd215efa92e-1KB.html,公开招标
ah-huainan-1ca31d8a-3fe2-4441-aedd-db716e74e615-1KB,寿县,工程建设,建筑工程,寿县科技学校（职教中心）、寿县技工学校建设项目--教学实训用房、教学辅助及行政管理用房项目,426680925.13,385868667.79,,,157,2023-03-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230329/1ca31d8a-3fe2-4441-aedd-db716e74e615-1KB.html,公开招标
ah-huainan-1ce5916d-e94c-4000-bd4e-88535d8326d0,寿县,工程建设,建筑装修装饰工程,寿州古城游客中心内部一期功能提升及周边标识导视系统制作施工项目,3843750.89,3803321.24,0.0,,3,2022-10-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221011/1ce5916d-e94c-4000-bd4e-88535d8326d0.html,邀请招标
ah-huainan-1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB,寿县,工程建设,公路工程,寿县2023年农村公路安防设施提升工程第二标段,5727301.17,5001823.93,0.4,0.92,153,2023-03-31,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230331/1dfc4f0d-5eb1-4d93-8fac-076d79eb04a0-1KB.html,公开招标
ah-huainan-2004c6aa-f7bf-462e-9689-f89d1684324e-1KB,寿县,工程建设,,寿县县医院肿瘤中心大楼智能化工程采购及安装项目,6461304.38,6367600.0,1.0,,13,2022-12-22,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221222/2004c6aa-f7bf-462e-9689-f89d1684324e-1KB.html,公开招标
ah-huainan-21bc9e8c-66a4-422c-9397-80b4e845d9b6-1KB,市级,工程建设,市政公用工程,谢家集区2023年老旧小区整治改造项目,13467886.21,12255776.45,0.0,,59,2023-06-12,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230612/21bc9e8c-66a4-422c-9397-80b4e845d9b6-1KB.html,公开招标
ah-huainan-23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB,寿县,工程建设,水利水电工程,引江济淮工程（安徽段）寿县WBHX-PN-3#排泥区临时用地土地复垦,8514527.04,7729913.37,0.6,0.94,116,2022-11-03,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221103/23269dac-4509-4c31-94c7-bfc90cb3ab7d-1KB.html,公开招标
ah-huainan-2618e2a1-591e-4b1b-a8d8-6b5dae26c108-1KB,凤台县,工程建设,建设工程类,凤台县人民医院新院区及二期建设工程智能化工程,63000000.0,54902090.57,40.0,,24,2023-02-22,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230222/2618e2a1-591e-4b1b-a8d8-6b5dae26c108-1KB.html,公开招标
ah-huainan-2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB,寿县,工程建设,市政公用工程,寿县窑口镇秋分路建设工程项目,18381258.39,15993657.26,0.55,0.92,75,2022-11-29,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221129/2781a7e9-368d-444f-909b-9ec2f817ffe9-1KB.html,公开招标
ah-huainan-29f3fd2b-2a27-4489-bb94-c3948f2bbd89,寿县,工程建设,建筑工程,寿县堰口镇小微园项目,11916088.47,10967567.84,0.35,0.98,779,2021-09-13,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/29f3fd2b-2a27-4489-bb94-c3948f2bbd89.html,公开招标
ah-huainan-29fd9800-d38d-464a-9f02-e0e6673288dd,寿县,工程建设,建筑工程,寿县方圩家园景观、绿化及配套工程项目,9086353.56,8068278.53,-8.6,-13.8,949,2021-09-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/29fd9800-d38d-464a-9f02-e0e6673288dd.html,公开招标
ah-huainan-2ad7e40d-afc6-4c29-87ac-3bfec904a800-1KB,,工程建设,市政公用工程,寿县纬四路建设项目一标段（经八路-双桥路）,13886020.9,11934479.52,0.55,0.9,251,2023-07-11,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230711/2ad7e40d-afc6-4c29-87ac-3bfec904a800-1KB.html,
ah-huainan-2aeaef35-166b-4735-8d0e-a55488b0a8f6-1KB,寿县,工程建设,建筑工程,寿县人民医院南区及配套设施建设项目施工,873764663.7,786388197.33,,,64,2023-05-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230505/2aeaef35-166b-4735-8d0e-a55488b0a8f6-1KB.html,公开招标
ah-huainan-2b1ed342-a961-4fc5-a017-848b0775ac88-1KB,寿县,工程建设,建筑工程,阳光南岸小区三期施工总承包项目,910810268.25,819729241.43,,,60,2023-05-26,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230526/2b1ed342-a961-4fc5-a017-848b0775ac88-1KB.html,公开招标
ah-huainan-2bbc7ec5-7238-41a5-bef8-2d44c49e96dd-1KB,市级,工程建设,市政公用工程,淮南八公山工业集聚区污水处理站建设工程,20000000.0,19503454.0,0.0,,9,2023-01-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230105/2bbc7ec5-7238-41a5-bef8-2d44c49e96dd-1KB.html,公开招标
ah-huainan-2bc3adab-3974-4305-9864-8a63b91adf8e-1KB,寿县,工程建设,建筑工程,寿县迎河镇明珠雅苑小区建设工程项目,106150598.65,95535538.88,,,51,2023-05-26,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230526/2bc3adab-3974-4305-9864-8a63b91adf8e-1KB.html,公开招标
ah-huainan-2bd21167-a186-41e9-8585-2a1227470b16-1KB,市级,工程建设,建筑工程,淮南高新区产业园四期一标段设计-采购-施工总承包,494130000.0,444717000.0,0.0,,13,2022-11-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221108/2bd21167-a186-41e9-8585-2a1227470b16-1KB.html,公开招标
ah-huainan-2dbe62f8-9967-44d1-bb3c-646acf40fb08-1KB,市级,工程建设,建筑工程,中城建研发展示中心行政综合楼部分装饰装修工程,17000000.0,14763547.11,0.0,,88,2023-04-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230427/2dbe62f8-9967-44d1-bb3c-646acf40fb08-1KB.html,公开招标
ah-huainan-2ddcd17f-02d1-4b54-ba50-e8e995d20db9-1KB,寿县,工程建设,水利水电工程,寿县2022年中央财政水利救灾资金工程第一标段,3463236.25,3249208.25,0.1,-2.0,134,2023-02-20,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230220/2ddcd17f-02d1-4b54-ba50-e8e995d20db9-1KB.html,公开招标
ah-huainan-2e35884d-08f6-409e-9c31-32aab519089a-1KB,,工程建设,建筑工程,堰口初中教辅用房,7480000.0,7009390.54,0.4,0.98,181,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/2e35884d-08f6-409e-9c31-32aab519089a-1KB.html,
ah-huainan-2ec0055f-08ff-42b6-9a39-40ff17ba91d8-1KB,市级,工程建设,建筑工程,淮南市大通区全民健身中心,12000000.0,10704513.3,0.0,,163,2022-11-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20221107/2ec0055f-08ff-42b6-9a39-40ff17ba91d8-1KB.html,公开招标
ah-huainan-2fd45eb2-5132-4b18-b400-758457151e79-1KB,,工程建设,建筑工程,中辉科技产业园设计-采购-施工(EPC)总承包,268450000.0,265067531.66,0.0,,17,2023-07-26,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230726/2fd45eb2-5132-4b18-b400-758457151e79-1KB.html,
ah-huainan-333a47bf-4e03-4dd4-acdd-80284cdfd8ab,寿县,工程建设,建筑工程,寿县窑口镇窑口小微园附属配套工程,1279138.11,1229800.66,,,3,2021-12-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211210/333a47bf-4e03-4dd4-acdd-80284cdfd8ab.html,邀请招标
ah-huainan-33b67741-1bdd-4e1f-ba52-889877f11389-1KB,寿县,工程建设,市政公用工程,寿县紫竹苑片区老旧小区改造项目二期工程—历史城区大寺巷升级改造工程,4832203.41,4210637.09,0.5,0.92,151,2023-01-17,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230117/33b67741-1bdd-4e1f-ba52-889877f11389-1KB.html,公开招标
ah-huainan-3454fba4-e646-43a9-a2d9-b2cd1ec2bb4f-1KB,寿县,工程建设,建筑工程,小甸镇古楼村乡村振兴产业基地项目,5449815.22,5088492.47,0.4,0.98,175,2023-06-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230609/3454fba4-e646-43a9-a2d9-b2cd1ec2bb4f-1KB.html,公开招标
ah-huainan-34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB,,工程建设,建筑工程,安丰塘初中、船涨学校、陶店小学教育强国推进工程第二标段,3150000.0,2967000.0,0.4,0.98,180,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34b6ba2b-b78f-4aef-b2b9-2b7f3206deea-1KB.html,
ah-huainan-34dfc11a-d912-43ec-973e-e8714923fec2-1KB,,工程建设,建筑工程,隐贤中学教师周转宿舍和马集学校教师周转宿舍第一标段,3149478.68,2920826.53,0.5,0.96,181,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/34dfc11a-d912-43ec-973e-e8714923fec2-1KB.html,
ah-huainan-35cf1124-02fd-4921-b897-f8bbf5bd0753,,工程建设,公路工程,寿县小甸镇2021年衔接资金项目（古楼村通组水泥路等5条水泥路）,3006654.0,3005605.05,,,3,2021-09-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20210907/35cf1124-02fd-4921-b897-f8bbf5bd0753.html,邀请招标
ah-huainan-36bd2538-1dcb-4a56-b26c-f7a87d5e587f-1KB,凤台县,工程建设,水利水电工程,“皖北地区群众喝上引调水工程”凤台县农村供水管网提升改造项目监理标,1800000.0,1620000.0,0.0,,17,2023-05-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230509/36bd2538-1dcb-4a56-b26c-f7a87d5e587f-1KB.html,公开招标
ah-huainan-39294b59-406e-4fc4-9bca-6b6a6aefb9cd-1KB,寿县,工程建设,建筑工程,寿县南湖小区（二期）一标段建设工程,92792269.02,84138539.44,,,69,2023-06-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230621/39294b59-406e-4fc4-9bca-6b6a6aefb9cd-1KB.html,公开招标
ah-huainan-3c743cd4-8823-4be2-9838-5d057f90b6f2-1KB,市级,工程建设,建筑智能化工程,淮南市中医院迁址新建项目智能化工程,28840000.0,25422889.1,0.0,,48,2023-05-17,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230517/3c743cd4-8823-4be2-9838-5d057f90b6f2-1KB.html,公开招标
ah-huainan-3c75b941-2f16-4474-a424-6a7e510f68e5-1KB,寿县,工程建设,建筑工程,50Gwh锂电池产业基地（新能源电池标准化厂房）一期前期服务总承包项目,3500000.0,3280000.0,0.0,,7,2023-02-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230208/3c75b941-2f16-4474-a424-6a7e510f68e5-1KB.html,公开招标
ah-huainan-3d31a84f-c569-47a9-8282-48643c3a06af-1KB,凤台县,工程建设,水利水电工程,“皖北地区群众喝上引调水工程”凤台县农村供水管网提升改造项目施工标,135000000.0,115029291.97,0.3,,21,2023-05-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230510/3d31a84f-c569-47a9-8282-48643c3a06af-1KB.html,公开招标
ah-huainan-3d9a4502-b4d2-47ae-8101-14da8614de56-1KB,,工程建设,市政公用工程,淮南高新区（山南新区）南纬五路（南经二路-南经六路）建设工程设计-采购-施工总承包,260000000.0,220740458.81,0.0,,18,2023-03-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230327/3d9a4502-b4d2-47ae-8101-14da8614de56-1KB.html,公开招标
ah-huainan-3def2adb-e631-49f8-9b75-55d251816b8a-1KB,,工程建设,建筑工程,中共寿县小甸镇委员会党校建设项目,49286074.79,46141623.22,0.4,0.98,270,2023-07-24,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230724/3def2adb-e631-49f8-9b75-55d251816b8a-1KB.html,
ah-huainan-3e5b0010-3cc9-417d-a613-60418f61e869-1KB,,工程建设,建筑工程,寿县寿春镇东津社区股份经济合作社农事服务项目,5395209.78,5070741.86,0.6,0.97,186,2023-07-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230704/3e5b0010-3cc9-417d-a613-60418f61e869-1KB.html,
ah-huainan-3e898097-780e-4520-9d8a-7d94bc277152-1KB,寿县,工程建设,建筑工程,寿县粮食仓储设施建设（五期）项目第二包,18945816.44,16983217.29,0.45,0.97,107,2022-11-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221108/3e898097-780e-4520-9d8a-7d94bc277152-1KB.html,公开招标
ah-huainan-3ea1a125-7285-47f3-8215-8c0efee7812c,寿县,工程建设,建筑工程,寿县双桥孙厂加油加气站建设项目,4412537.8,4103660.15,-5.2,-8.4,231,2021-10-12,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211012/3ea1a125-7285-47f3-8215-8c0efee7812c.html,公开招标
ah-huainan-3f43268a-5d7c-46a2-9df7-8d9c7496acb3-1KB,,工程建设,工程货物类,寿县明珠上苑电梯采购及安装项目,9600000.0,8395300.0,,,34,2023-07-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230710/3f43268a-5d7c-46a2-9df7-8d9c7496acb3-1KB.html,
ah-huainan-3fcba090-4b28-4dda-9fae-831d1682a3d1,寿县,工程建设,建筑工程,国投?邻里中心幼儿园工程项目,10847117.89,9816150.86,-7.8,-11.2,734,2021-09-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211104/3fcba090-4b28-4dda-9fae-831d1682a3d1.html,公开招标
ah-huainan-3fe0a9f5-1bed-4a23-98cb-59702fc1bd16-1KB,市级,工程建设,建筑工程,淮南现代产业园区科技创新产业园（一期）EPC项目,173411500.0,168081623.0,0.0,,11,2023-04-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230406/3fe0a9f5-1bed-4a23-98cb-59702fc1bd16-1KB.html,公开招标
ah-huainan-411d49df-cd2d-4de2-8926-e1881eb983a9-1KB,市级,工程建设,建筑工程,安徽淮南现代煤化工产业园标准化厂房二期（高端材料深加工产业园）项目总承包（EPC）,521863000.0,510486475.0,0.0,,12,2023-05-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230509/411d49df-cd2d-4de2-8926-e1881eb983a9-1KB.html,公开招标
ah-huainan-4133cf35-eab9-4ef0-8025-1b589c7eeae1-1KB,寿县,工程建设,市政公用工程,寿县城市更新（二期）二标段项目,411311017.3,336083433.32,,,98,2023-02-28,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230228/4133cf35-eab9-4ef0-8025-1b589c7eeae1-1KB.html,公开招标
ah-huainan-4288227e-9d59-4ffd-a9b5-3c84f5cfdbbf-1KB,,工程建设,建筑工程,安丰塘初中、船涨学校、陶店小学教育强国推进工程第一标段,4200000.0,3815468.26,0.4,0.98,181,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/4288227e-9d59-4ffd-a9b5-3c84f5cfdbbf-1KB.html,
ah-huainan-43641dc7-f6b9-4646-b296-efcb34c0f7f3-1KB,寿县,工程建设,市政公用工程,城市更新一期—寿县燕园路二标段建设项目,45932293.66,40280607.41,-12.8,-11.4,187,2023-02-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230209/43641dc7-f6b9-4646-b296-efcb34c0f7f3-1KB.html,公开招标
ah-huainan-4712d2b4-d298-4f8c-b418-148659de34c5-1KB,市级,工程建设,建筑工程,淮景农旅文化产业园一期工程EPC总承包项目,104000000.0,95994926.0,6.0,,13,2023-03-28,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230328/4712d2b4-d298-4f8c-b418-148659de34c5-1KB.html,公开招标
ah-huainan-47cf2d9d-5508-497e-9672-b3492af40837-1KB,凤台县,工程建设,公路工程,凤台县X023马刘路升级改造工程,32000000.0,29667819.51,0.0,,23,2023-02-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230207/47cf2d9d-5508-497e-9672-b3492af40837-1KB.html,公开招标
ah-huainan-491d5d5a-5cb8-47fd-8a43-73b9dbe64bfa-1KB,寿县,工程建设,建筑工程,安丰塘镇柿元村小微园,4272732.25,3895816.26,0.6,0.94,172,2023-04-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230404/491d5d5a-5cb8-47fd-8a43-73b9dbe64bfa-1KB.html,公开招标
ah-huainan-4a17ba32-7fb6-4788-97fa-6cd1dc015ca0-1KB,寿县,工程建设,,寿县炎刘镇和刘岗镇村庄规划及寿县新桥国际产业园城市设计,10000000.0,9760000.0,,,5,2023-02-02,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230202/4a17ba32-7fb6-4788-97fa-6cd1dc015ca0-1KB.html,公开招标
ah-huainan-4a37f417-3b2d-4619-b9a7-f4851e7b80aa-1KB,寿县,工程建设,,寿县2023年高标准农田建设初步设计项目第一标段,1.1,1.06,,,20,2022-12-19,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221219/4a37f417-3b2d-4619-b9a7-f4851e7b80aa-1KB.html,公开招标
ah-huainan-4bc68221-41b7-46b1-a9e6-f3f538ca1d99-1KB,市级,工程建设,水利水电工程,潘集区皖北地区群众喝上引调水工程（袁庄水厂改扩建-北片区管网提升改造项目）施工一标段,6700000.0,6466750.69,0.2,,520,2023-06-07,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230607/4bc68221-41b7-46b1-a9e6-f3f538ca1d99-1KB.html,公开招标
ah-huainan-4c870d8c-6486-4e6e-9757-ea0f50e708da,寿县,工程建设,水利水电工程,寿县2021年度高标准农田建设项目（第三批）第18标段,8298499.36,7878595.29,0.3,-2.0,507,2021-09-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211102/4c870d8c-6486-4e6e-9757-ea0f50e708da.html,公开招标
ah-huainan-4ef6b78b-e4c7-4eee-bd7d-cbfffa83b1fa-1KB,市级,工程建设,建筑工程,八公山循环工业园汽车循环再利用项目挡土墙工程（二次）,4820000.0,4338138.92,0.0,,103,2023-06-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230606/4ef6b78b-e4c7-4eee-bd7d-cbfffa83b1fa-1KB.html,公开招标
ah-huainan-4f8d3290-927e-4dbc-9661-4a3979f12caa-1KB,凤台县,工程建设,建筑工程,凤台县凤凰湖新区安置区玻璃幕墙及地下车库玻璃罩篷工程,6910000.0,6281318.89,0.0,,30,2023-05-05,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230505/4f8d3290-927e-4dbc-9661-4a3979f12caa-1KB.html,公开招标
ah-huainan-4fe5f1af-6941-4e90-a877-431a9c31e8c7-1KB,寿县,工程建设,公路工程,寿县丰庄镇2023年农村公路提质改造工程第一标段,2746292.75,2463301.43,-8.6,-11.8,255,2023-05-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230530/4fe5f1af-6941-4e90-a877-431a9c31e8c7-1KB.html,公开招标
ah-huainan-52564fa8-328c-4eed-ab68-5747d0f0f14f-1KB,寿县,工程建设,公路工程,正阳关镇2023年农村公路提质改造工程第二标段,2398841.37,2190032.67,-8.0,-9.4,321,2023-04-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230406/52564fa8-328c-4eed-ab68-5747d0f0f14f-1KB.html,公开招标
ah-huainan-528afb2f-f70b-4c84-8a9a-16754113b03a-1KB,市级,工程建设,建筑工程,潘东新城智造园标准化厂房EPC工程总承包项目,524695700.0,503708300.0,,,20,2023-02-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230221/528afb2f-f70b-4c84-8a9a-16754113b03a-1KB.html,公开招标
ah-huainan-5291ae60-8320-49fb-a80b-fb904d47dee5-1KB,,工程建设,市政公用工程,淮南市公交公司罗山新场区项目室外工程,24000000.0,20004938.88,0.0,,197,2023-07-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230718/5291ae60-8320-49fb-a80b-fb904d47dee5-1KB.html,
ah-huainan-52e9140a-ffdc-4fae-89ce-4410447aa318-1KB,寿县,工程建设,建筑工程,安徽有度智能机器人新桥产业园项目工程总承包（EPC）,156465500.0,140918950.0,,,25,2023-05-04,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230504/52e9140a-ffdc-4fae-89ce-4410447aa318-1KB.html,公开招标
ah-huainan-5357e22f-f1fb-4c7c-af1f-1c4386f05b46-1KB,市级,工程建设,建筑工程,淮南市大通区朱家大山废弃矿山综合治理,25622780.68,23982922.72,0.0,,47,2023-05-23,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230523/5357e22f-f1fb-4c7c-af1f-1c4386f05b46-1KB.html,公开招标
ah-huainan-53e3e782-742f-4e85-b8ba-8252901da32c-1KB,寿县,工程建设,水利水电工程,保义镇塘郢村灌溉站工程-中心沟电站,5163226.87,4775313.64,0.2,,354,2023-04-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230410/53e3e782-742f-4e85-b8ba-8252901da32c-1KB.html,公开招标
ah-huainan-54a06c1d-ff3b-4a89-ab9b-430c8a943e9d-1KB,寿县,工程建设,,寿县寿蔡路改造提升项目照明工程路灯采购安装项目,3677940.0,3210900.0,-9.0,-14.8,49,2023-06-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230608/54a06c1d-ff3b-4a89-ab9b-430c8a943e9d-1KB.html,公开招标
ah-huainan-54aabe24-8352-4e0e-8871-b64b8b72b097,寿县,工程建设,建筑工程,寿县淮河行蓄洪区2019-2021年居民迁建双桥镇双桥、马荒安置点附属工程,105790757.08,91825926.89,-11.2,-14.8,134,2021-09-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20210908/54aabe24-8352-4e0e-8871-b64b8b72b097.html,公开招标
ah-huainan-55086b7f-beb6-436b-a402-d771e12a61b6-1KB,,工程建设,市政公用工程,合肥新桥机场S1线（新桥机场至新桥产业园段）及配套工程建设项目一标段,1000000000.0,886144283.52,,,33,2022-10-17,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221017/55086b7f-beb6-436b-a402-d771e12a61b6-1KB.html,公开招标
ah-huainan-554a9708-52a2-4d30-8c48-86b1ea3f60af,寿县,工程建设,市政公用工程,寿县新城区基础设施提升工程---沿河路项目,14318354.97,12556569.46,-12.2,-12.4,827,2021-10-08,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211111/554a9708-52a2-4d30-8c48-86b1ea3f60af.html,公开招标
ah-huainan-56b5cf7d-853b-4386-972f-548f98eb7dd1-1KB,,工程建设,市政公用工程,陶店回族乡污水管网项目第二标段,700000.0,657693.88,0.55,0.98,222,2023-07-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230706/56b5cf7d-853b-4386-972f-548f98eb7dd1-1KB.html,
ah-huainan-570f9ad7-937c-443d-a94d-3534992d52e6,寿县,工程建设,水利水电工程,寿县2021年度高标准农田建设项目（第三批）第19标段,8298499.36,7878595.29,0.3,-2.0,529,2021-09-09,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211102/570f9ad7-937c-443d-a94d-3534992d52e6.html,公开招标
ah-huainan-586dc36b-50f7-4cb5-87f5-1275f9433fb8-1KB,寿县,工程建设,公路工程,陶店回族乡农村公路提质改造等建设项目第二标段,1450166.49,1284783.27,-12.6,-10.2,268,2023-04-20,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230420/586dc36b-50f7-4cb5-87f5-1275f9433fb8-1KB.html,公开招标
ah-huainan-5af6116e-2738-4448-9528-069f111fc5e0-1KB,寿县,工程建设,,寿县中小企业创业园电梯采购及安装工程,20460000.0,18004800.0,-11.0,-14.2,41,2023-01-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230118/5af6116e-2738-4448-9528-069f111fc5e0-1KB.html,公开招标
ah-huainan-5c022c2b-af51-4ee4-8258-e4d0bc3910ad-1KB,寿县,工程建设,建筑工程,寿县历史城区保护和复兴项目规划设计,15050000.0,14790050.0,,,5,2023-03-30,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230330/5c022c2b-af51-4ee4-8258-e4d0bc3910ad-1KB.html,公开招标
ah-huainan-5dab4ade-f9f5-4857-89f5-fa82f76ba392-1KB,寿县,工程建设,建筑工程,寿县涧沟镇朱厂（张郢）小微园项目,5076708.64,4585283.24,0.4,0.95,169,2023-04-06,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230406/5dab4ade-f9f5-4857-89f5-fa82f76ba392-1KB.html,公开招标
